student_id,subject_id,subjectidentifier,SubjectArea,ayidentifier,school_domain,dbsc_id,gradingPeriod,cat_id,cat_name,cw_id,assign_name,score,ispassed,gpfinalgrade,gpfinalscore,intervene_type,gp_intervene,gp_dayspresent,gp_daysabsent
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246717,Daily Work,1814196,MyNameWhyCou,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246717,Daily Work,1814199,introduce,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246717,Daily Work,1814208,SOAPSTONECUT,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246717,Daily Work,1814211,ElevenOrange,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246717,Daily Work,1837639,JournalsNov1,75,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246718,Formative Assessments,1814200,Unit1Quiz,0,0,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246718,Formative Assessments,1814203,BriefAnalysi,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246718,Formative Assessments,1814207,Quiz2,54,0,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246718,Formative Assessments,1827413,STAARExam,85,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246718,Formative Assessments,1827427,STAARExam1,80,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246718,Formative Assessments,1837632,SixWeeksExam,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7916,2nd Six Wks,1246719,Summative Assessments,1814204,JournalsOct7,100,1,84,84,PH,2,28,1
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246726,Daily Work,1855690,ConnoDenota,100,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246726,Daily Work,1876512,AlwaysRunnin,75,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246726,Daily Work,1876627,Ranos voice,0,0,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246726,Daily Work,1893540,TheCaskMoodW,75,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246726,Daily Work,1915492,JournalDec16,75,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246727,Formative Assessments,1873267,TPCASTTPoiso,86,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246727,Formative Assessments,1873270,APoisonTreeS,70,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246727,Formative Assessments,1873271,TheDinnerPar,100,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246727,Formative Assessments,1873273,JournalsNo18,80,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246727,Formative Assessments,1926314,SB2nd6Wks,86,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246728,Summative Assessments,1876520,Apoisontreep,100,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246728,Summative Assessments,1893536,TheCaskVocab,100,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7917,3rd Six Wks,1246728,Summative Assessments,1893539,EyeForEyeRev,100,1,77,77,PH,2,31,0
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246819,Daily Work,1963410,PoetryAssign,70,1,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246819,Daily Work,1963412,RefrainPoems,100,1,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246819,Daily Work,1963462,ThesisGenara,50,0,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246819,Daily Work,1976534,PersoniIdiom,67,0,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246819,Daily Work,2012728,ODEPoem,100,1,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246820,Formative Assessments,1963411,Jan24thJourn,100,1,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246820,Formative Assessments,1963453,PoetryQuiz,83,1,80,80,PH,2,27,2
417,272406,11080,SPED,1314,1,7919,4th Six Wks,1246820,Formative Assessments,1983710,JournFeb7,50,0,80,80,PH,2,27,2
