"","student_id","subject_id","subjectidentifier","SubjectArea","ayidentifier","school_domain","dbsc_id","gradingPeriod","cat_id","cat_name","cw_id","assign_name","score","ispassed","gpfinalgrade","gpfinalscore","intervene_type","gp_intervene","gp_dayspresent","gp_daysabsent"
"1",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246717,"Daily Work",1814196,"MyNameWhyCou",100,1,84,84,"PhoneCall",2,28,1
"2",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246717,"Daily Work",1814199,"introduce",100,1,84,84,"PhoneCall",2,28,1
"3",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246717,"Daily Work",1814208,"SOAPSTONECUT",100,1,84,84,"PhoneCall",2,28,1
"4",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246717,"Daily Work",1814211,"ElevenOrange",100,1,84,84,"PhoneCall",2,28,1
"5",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246717,"Daily Work",1837639,"JournalsNov1",75,1,84,84,"PhoneCall",2,28,1
"6",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246718,"Formative Assessments",1814200,"Unit1Quiz",0,1,84,84,"PhoneCall",2,28,1
"7",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246718,"Formative Assessments",1814203,"BriefAnalysi",100,1,84,84,"PhoneCall",2,28,1
"8",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246718,"Formative Assessments",1814207,"Quiz2",54,1,84,84,"PhoneCall",2,28,1
"9",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246718,"Formative Assessments",1827413,"STAARExam",85,1,84,84,"PhoneCall",2,28,1
"10",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246718,"Formative Assessments",1827427,"STAARExam1",80,1,84,84,"PhoneCall",2,28,1
"11",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246718,"Formative Assessments",1837632,"SixWeeksExam",100,1,84,84,"PhoneCall",2,28,1
"12",417,272406,11080,"SPED",1314,1,7916,"2nd Six Wks",1246719,"Summative Assessments",1814204,"JournalsOct7",100,1,84,84,"PhoneCall",2,28,1
"13",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246726,"Daily Work",1855690,"ConnoDenota",100,1,77,77,"PhoneCall",2,31,0
"14",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246726,"Daily Work",1876512,"AlwaysRunnin",75,1,77,77,"PhoneCall",2,31,0
"15",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246726,"Daily Work",1876627,"Ranos voice",0,1,77,77,"PhoneCall",2,31,0
"16",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246726,"Daily Work",1893540,"TheCaskMoodW",75,1,77,77,"PhoneCall",2,31,0
"17",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246726,"Daily Work",1915492,"JournalDec16",75,1,77,77,"PhoneCall",2,31,0
"18",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246727,"Formative Assessments",1873267,"TPCASTTPoiso",86,1,77,77,"PhoneCall",2,31,0
"19",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246727,"Formative Assessments",1873270,"APoisonTreeS",70,1,77,77,"PhoneCall",2,31,0
"20",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246727,"Formative Assessments",1873271,"TheDinnerPar",100,1,77,77,"PhoneCall",2,31,0
"21",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246727,"Formative Assessments",1873273,"JournalsNo18",80,1,77,77,"PhoneCall",2,31,0
"22",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246727,"Formative Assessments",1926314,"SB2nd6Wks",86,1,77,77,"PhoneCall",2,31,0
"23",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246728,"Summative Assessments",1876520,"Apoisontreep",100,1,77,77,"PhoneCall",2,31,0
"24",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246728,"Summative Assessments",1893536,"TheCaskVocab",100,1,77,77,"PhoneCall",2,31,0
"25",417,272406,11080,"SPED",1314,1,7917,"3rd Six Wks",1246728,"Summative Assessments",1893539,"EyeForEyeRev",100,1,77,77,"PhoneCall",2,31,0
"26",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246819,"Daily Work",1963410,"PoetryAssign",70,1,80,80,"PhoneCall",2,27,2
"27",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246819,"Daily Work",1963412,"RefrainPoems",100,1,80,80,"PhoneCall",2,27,2
"28",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246819,"Daily Work",1963462,"ThesisGenara",50,1,80,80,"PhoneCall",2,27,2
"29",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246819,"Daily Work",1976534,"PersoniIdiom",67,1,80,80,"PhoneCall",2,27,2
"30",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246819,"Daily Work",2012728,"ODEPoem",100,1,80,80,"PhoneCall",2,27,2
"31",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",1963411,"Jan24thJourn",100,1,80,80,"PhoneCall",2,27,2
"32",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",1963453,"PoetryQuiz",83,1,80,80,"PhoneCall",2,27,2
"33",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",1983710,"JournFeb7",50,1,80,80,"PhoneCall",2,27,2
"34",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",2006525,"IDreamTPCAST",100,1,80,80,"PhoneCall",2,27,2
"35",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",2013171,"LyricAnalysi",100,1,80,80,"PhoneCall",2,27,2
"36",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",2013173,"LyricAnaPres",80,1,80,80,"PhoneCall",2,27,2
"37",417,272406,11080,"SPED",1314,1,7919,"4th Six Wks",1246820,"Formative Assessments",2039731,"FireworkQuiz",67,0,80,80,"PhoneCall",2,27,2
"38",417,272406,11080,"SPED",1314,1,7920,"5th Six Wks",1246828,"Daily Work",2059918,"ShortAnsweNo",70,1,72,72,"PhoneCall",2,28,1
"39",417,272406,11080,"SPED",1314,1,7920,"5th Six Wks",1246828,"Daily Work",2061606,"shortAnsrPra",50,1,72,72,"PhoneCall",2,28,1
"40",417,272406,11080,"SPED",1314,1,7920,"5th Six Wks",1246828,"Daily Work",2061656,"ShrtAnswrPr2",70,1,72,72,"PhoneCall",2,28,1
"41",417,272406,11080,"SPED",1314,1,7920,"5th Six Wks",1246828,"Daily Work",2063986,"CrossOvrShrA",50,1,72,72,"PhoneCall",2,28,1
"42",417,272406,11080,"SPED",1314,1,7920,"5th Six Wks",1246828,"Daily Work",2112948,"DramaPartici",0,1,72,72,"PhoneCall",2,28,1
